id,portfolio,type,dateexecution,dateeffective,instrument,country,price,quantity,commission,comment
1,1,trade,20140618,20140618,TBE,CA,1.895,200,2,first buy Twin Butte
2,1,trade,20140619,20140619,BBD.B,CA,3.85,100,1,
